country_code,region_country_area,year,series,value,notes,source
1,"Total, all countries or areas",2023,Other of concern to UNHCR (number),75562061.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
1,"Total, all countries or areas",2023,Total population of concern to UNHCR (number),110826287.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
2,Africa,2005,International migrant stock: Both sexes (number),16040087.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
2,Africa,2005,International migrant stock: Both sexes (% total population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
2,Africa,2005,International migrant stock: Male (% total Population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
2,Africa,2005,International migrant stock: Female (% total Population),1.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
2,Africa,2010,International migrant stock: Both sexes (number),17806677.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
2,Africa,2010,International migrant stock: Both sexes (% total population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
2,Africa,2010,International migrant stock: Male (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
2,Africa,2010,International migrant stock: Female (% total Population),1.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
2,Africa,2015,International migrant stock: Both sexes (number),22860792.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
2,Africa,2015,International migrant stock: Both sexes (% total population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
2,Africa,2015,International migrant stock: Male (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
2,Africa,2015,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
2,Africa,2015,Total refugees and people in refugee-like situations (number),4493139.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
2,Africa,2015,"Asylum seekers, including pending cases (number)",1044031.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
2,Africa,2015,Other of concern to UNHCR (number),11530138.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
2,Africa,2015,Total population of concern to UNHCR (number),17067308.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
2,Africa,2020,International migrant stock: Both sexes (number),25389464.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
2,Africa,2020,International migrant stock: Both sexes (% total population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
2,Africa,2020,International migrant stock: Male (% total Population),2.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
2,Africa,2020,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
2,Africa,2020,Total refugees and people in refugee-like situations (number),6999300.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
2,Africa,2020,"Asylum seekers, including pending cases (number)",617584.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
2,Africa,2020,Other of concern to UNHCR (number),24919267.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
2,Africa,2020,Total population of concern to UNHCR (number),32536151.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
2,Africa,2022,Total refugees and people in refugee-like situations (number),7583303.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
2,Africa,2022,"Asylum seekers, including pending cases (number)",681702.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
2,Africa,2022,Other of concern to UNHCR (number),29072940.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
2,Africa,2022,Total population of concern to UNHCR (number),37337940.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
15,Northern Africa,2005,International migrant stock: Both sexes (number),1749718.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
15,Northern Africa,2005,International migrant stock: Both sexes (% total population),0.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
15,Northern Africa,2010,International migrant stock: Both sexes (number),1952040.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
15,Northern Africa,2010,International migrant stock: Both sexes (% total population),1.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
15,Northern Africa,2015,International migrant stock: Both sexes (number),2138918.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
15,Northern Africa,2015,International migrant stock: Both sexes (% total population),1.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
15,Northern Africa,2020,International migrant stock: Both sexes (number),3167926.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
15,Northern Africa,2020,International migrant stock: Both sexes (% total population),1.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
202,Sub-Saharan Africa,2005,International migrant stock: Both sexes (number),14290369.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
202,Sub-Saharan Africa,2005,International migrant stock: Both sexes (% total population),2.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
202,Sub-Saharan Africa,2005,International migrant stock: Male (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
202,Sub-Saharan Africa,2005,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
202,Sub-Saharan Africa,2010,International migrant stock: Both sexes (number),15854637.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
202,Sub-Saharan Africa,2010,International migrant stock: Both sexes (% total population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
202,Sub-Saharan Africa,2010,International migrant stock: Male (% total Population),2.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
202,Sub-Saharan Africa,2010,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
202,Sub-Saharan Africa,2015,International migrant stock: Both sexes (number),20721874.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
202,Sub-Saharan Africa,2015,International migrant stock: Both sexes (% total population),2.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
202,Sub-Saharan Africa,2015,International migrant stock: Male (% total Population),2.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
202,Sub-Saharan Africa,2015,International migrant stock: Female (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
202,Sub-Saharan Africa,2020,International migrant stock: Both sexes (number),22221538.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
202,Sub-Saharan Africa,2020,International migrant stock: Both sexes (% total population),2.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
202,Sub-Saharan Africa,2020,International migrant stock: Male (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
202,Sub-Saharan Africa,2020,International migrant stock: Female (% total Population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
14,Eastern Africa,2005,International migrant stock: Both sexes (number),4788649.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
14,Eastern Africa,2005,International migrant stock: Both sexes (% total population),1.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
14,Eastern Africa,2005,International migrant stock: Male (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
14,Eastern Africa,2005,International migrant stock: Female (% total Population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
14,Eastern Africa,2010,International migrant stock: Both sexes (number),4743657.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
14,Eastern Africa,2010,International migrant stock: Both sexes (% total population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
14,Eastern Africa,2010,International migrant stock: Male (% total Population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
14,Eastern Africa,2010,International migrant stock: Female (% total Population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
14,Eastern Africa,2015,International migrant stock: Both sexes (number),6696922.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
14,Eastern Africa,2015,International migrant stock: Both sexes (% total population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
14,Eastern Africa,2015,International migrant stock: Male (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
14,Eastern Africa,2015,International migrant stock: Female (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
14,Eastern Africa,2020,International migrant stock: Both sexes (number),7682801.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
14,Eastern Africa,2020,International migrant stock: Both sexes (% total population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
14,Eastern Africa,2020,International migrant stock: Male (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
14,Eastern Africa,2020,International migrant stock: Female (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
17,Middle Africa,2005,International migrant stock: Both sexes (number),1961951.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
17,Middle Africa,2005,International migrant stock: Both sexes (% total population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
17,Middle Africa,2005,International migrant stock: Male (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
17,Middle Africa,2005,International migrant stock: Female (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
17,Middle Africa,2010,International migrant stock: Both sexes (number),2436802.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
17,Middle Africa,2010,International migrant stock: Both sexes (% total population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
17,Middle Africa,2010,International migrant stock: Male (% total Population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
17,Middle Africa,2010,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
17,Middle Africa,2015,International migrant stock: Both sexes (number),3479911.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
17,Middle Africa,2015,International migrant stock: Both sexes (% total population),2.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
17,Middle Africa,2015,International migrant stock: Male (% total Population),2.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
17,Middle Africa,2015,International migrant stock: Female (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
17,Middle Africa,2020,International migrant stock: Both sexes (number),3861568.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
17,Middle Africa,2020,International migrant stock: Both sexes (% total population),2.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
17,Middle Africa,2020,International migrant stock: Male (% total Population),2.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
17,Middle Africa,2020,International migrant stock: Female (% total Population),2.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
18,Southern Africa,2005,International migrant stock: Both sexes (number),1582721.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
18,Southern Africa,2005,International migrant stock: Both sexes (% total population),2.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
18,Southern Africa,2005,International migrant stock: Male (% total Population),3.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
18,Southern Africa,2005,International migrant stock: Female (% total Population),2.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
18,Southern Africa,2010,International migrant stock: Both sexes (number),2352541.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
18,Southern Africa,2010,International migrant stock: Both sexes (% total population),4.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
18,Southern Africa,2010,International migrant stock: Male (% total Population),4.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
18,Southern Africa,2010,International migrant stock: Female (% total Population),3.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
18,Southern Africa,2015,International migrant stock: Both sexes (number),3477903.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
18,Southern Africa,2015,International migrant stock: Both sexes (% total population),5.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
18,Southern Africa,2015,International migrant stock: Male (% total Population),6.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
18,Southern Africa,2015,International migrant stock: Female (% total Population),4.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
18,Southern Africa,2020,International migrant stock: Both sexes (number),3125072.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
18,Southern Africa,2020,International migrant stock: Both sexes (% total population),4.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
18,Southern Africa,2020,International migrant stock: Male (% total Population),5.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
18,Southern Africa,2020,International migrant stock: Female (% total Population),3.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
11,Western Africa,2005,International migrant stock: Both sexes (number),5957048.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
11,Western Africa,2005,International migrant stock: Both sexes (% total population),2.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
11,Western Africa,2005,International migrant stock: Male (% total Population),2.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
11,Western Africa,2005,International migrant stock: Female (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
11,Western Africa,2010,International migrant stock: Both sexes (number),6321637.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
11,Western Africa,2010,International migrant stock: Both sexes (% total population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
11,Western Africa,2010,International migrant stock: Male (% total Population),2.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
11,Western Africa,2010,International migrant stock: Female (% total Population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
11,Western Africa,2015,International migrant stock: Both sexes (number),7067138.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
11,Western Africa,2015,International migrant stock: Both sexes (% total population),2.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
11,Western Africa,2015,International migrant stock: Male (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
11,Western Africa,2015,International migrant stock: Female (% total Population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
11,Western Africa,2020,International migrant stock: Both sexes (number),7552097.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
11,Western Africa,2020,International migrant stock: Both sexes (% total population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
11,Western Africa,2020,International migrant stock: Male (% total Population),2.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
11,Western Africa,2020,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
21,Northern America,2005,International migrant stock: Both sexes (number),45363089.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
21,Northern America,2005,International migrant stock: Both sexes (% total population),13.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
21,Northern America,2005,International migrant stock: Male (% total Population),14.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
21,Northern America,2005,International migrant stock: Female (% total Population),13.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
21,Northern America,2010,International migrant stock: Both sexes (number),50970524.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
21,Northern America,2010,International migrant stock: Both sexes (% total population),14.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
21,Northern America,2010,International migrant stock: Male (% total Population),14.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
21,Northern America,2010,International migrant stock: Female (% total Population),15.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
21,Northern America,2015,International migrant stock: Both sexes (number),55633741.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
21,Northern America,2015,International migrant stock: Both sexes (% total population),15.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
21,Northern America,2015,International migrant stock: Male (% total Population),15.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
21,Northern America,2015,International migrant stock: Female (% total Population),15.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
21,Northern America,2015,Total refugees and people in refugee-like situations (number),416385.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
21,Northern America,2015,"Asylum seekers, including pending cases (number)",238989.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
21,Northern America,2015,Total population of concern to UNHCR (number),655374.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
21,Northern America,2019,Total refugees and people in refugee-like situations (number),420131.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
21,Northern America,2019,"Asylum seekers, including pending cases (number)",809134.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
21,Northern America,2019,Other of concern to UNHCR (number),3790.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
21,Northern America,2019,Total population of concern to UNHCR (number),1233055.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
21,Northern America,2020,International migrant stock: Both sexes (number),58708795.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
21,Northern America,2020,International migrant stock: Both sexes (% total population),15.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
21,Northern America,2020,International migrant stock: Male (% total Population),15.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
21,Northern America,2020,International migrant stock: Female (% total Population),16.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
419,Latin America & the Caribbean,2005,International migrant stock: Both sexes (number),7184113.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
419,Latin America & the Caribbean,2005,International migrant stock: Both sexes (% total population),1.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
419,Latin America & the Caribbean,2005,International migrant stock: Male (% total Population),1.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
419,Latin America & the Caribbean,2005,International migrant stock: Female (% total Population),1.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
419,Latin America & the Caribbean,2010,International migrant stock: Both sexes (number),8326588.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
419,Latin America & the Caribbean,2010,International migrant stock: Both sexes (% total population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
419,Latin America & the Caribbean,2010,International migrant stock: Male (% total Population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
419,Latin America & the Caribbean,2010,International migrant stock: Female (% total Population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
419,Latin America & the Caribbean,2015,International migrant stock: Both sexes (number),9441503.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
419,Latin America & the Caribbean,2015,International migrant stock: Both sexes (% total population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
419,Latin America & the Caribbean,2015,International migrant stock: Male (% total Population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
419,Latin America & the Caribbean,2015,International migrant stock: Female (% total Population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
419,Latin America & the Caribbean,2015,Total refugees and people in refugee-like situations (number),336552.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
419,Latin America & the Caribbean,2015,"Asylum seekers, including pending cases (number)",37378.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
419,Latin America & the Caribbean,2015,Other of concern to UNHCR (number),6697290.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
419,Latin America & the Caribbean,2015,Total population of concern to UNHCR (number),7071220.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
